sensor,x_gt,y_gt,vx_gt,vy_gt,p_x,p_y,vx,vy,RMSE_x,RMSE_y,RMSE_vx,RMSE_vy
L,0.6,0.6,5.19994,0,0.312243,0.58034,0,0,0.287757,0.0196602,5.19994,0
R,0.859997,0.600045,5.19975,0.00179686,0.776595,0.724198,6.6052,2.00224,0.211849,0.0888836,3.80885,1.41453
L,1.11998,0.600225,5.19943,0.00538996,1.19606,0.534732,10.0946,0.108982,0.178463,0.0818328,4.20227,1.1565
R,1.37996,0.600629,5.19898,0.0107781,1.24114,0.724404,4.28622,3.18709,0.169424,0.0940877,3.66778,1.8776
L,1.6399,0.601347,5.19839,0.0179597,1.51949,0.786718,4.28735,3.00063,0.160821,0.118129,3.30577,2.14466
R,1.89982,0.60247,5.19766,0.0269323,1.71633,0.915574,4.28499,2.98507,0.164817,0.167236,3.04065,2.3003
L,2.1597,0.604086,5.19678,0.0376932,2.02842,0.908838,4.61781,2.39474,0.160456,0.192977,2.82359,2.3085
R,2.41954,0.606284,5.19573,0.0502389,2.22572,1.00971,4.51666,2.37665,0.164996,0.230064,2.65212,2.31074
L,2.67932,0.609155,5.1945,0.0645654,2.55157,0.931614,4.88399,1.65875,0.161283,0.242078,2.50258,2.24246
R,2.93904,0.612786,5.19309,0.080668,2.80163,1.00832,4.91253,1.63768,0.159057,0.261508,2.37581,2.18362
L,3.19869,0.617267,5.19147,0.0985415,3.08438,0.908688,5.08841,1.08111,0.155522,0.264368,2.26546,2.10297
R,3.45825,0.622685,5.18963,0.11818,3.34575,0.957517,5.08861,1.05738,0.152401,0.27094,2.16921,2.03161
L,3.71772,0.62913,5.18754,0.139576,3.73047,0.693625,5.40943,0.104629,0.146465,0.260925,2.08502,1.95194
R,3.97708,0.636689,5.18519,0.162724,4.0163,0.695569,5.46541,0.094121,0.141526,0.251926,2.01057,1.88102
L,4.23632,0.645449,5.18256,0.187614,4.30205,0.648574,5.49101,-0.0501689,0.137776,0.243385,1.94403,1.81828
R,4.49542,0.655498,5.17962,0.214238,4.56102,0.649247,5.34165,-0.0533419,0.134406,0.235661,1.88273,1.76181
L,4.75437,0.666921,5.17634,0.242587,4.72717,0.775721,5.17493,0.3039,0.130559,0.230143,1.82652,1.70927
R,5.01315,0.679804,5.1727,0.272649,4.97689,0.788558,5.02554,0.279706,0.127168,0.225123,1.7754,1.66111
L,5.27175,0.694234,5.16867,0.304413,5.28612,0.726589,5.12675,0.0747419,0.123821,0.219244,1.72807,1.61767
R,5.53013,0.710295,5.16422,0.337868,5.547,0.729469,5.27008,0.0859084,0.120744,0.213736,1.68448,1.57771
L,5.78828,0.728072,5.15932,0.372999,5.84758,0.715891,5.3348,0.036535,0.118543,0.208602,1.64433,1.54144
R,6.04618,0.747647,5.15393,0.409793,6.08045,0.715091,5.11553,0.0173008,0.116048,0.203924,1.60655,1.50832
L,6.30379,0.769103,5.14803,0.448233,6.3302,0.810752,5.10059,0.266042,0.11363,0.19963,1.57126,1.47566
R,6.5611,0.792523,5.14157,0.488305,6.58196,0.823709,5.06037,0.261619,0.111319,0.195531,1.53827,1.44533
L,6.81808,0.817988,5.13452,0.52999,6.82971,0.788284,5.05444,0.135085,0.109095,0.191672,1.50728,1.41833
R,7.07469,0.845578,5.12685,0.573269,7.06872,0.794321,4.87628,0.119513,0.106983,0.188219,1.47882,1.39363
L,7.3309,0.875373,5.11851,0.618123,7.27942,0.86895,4.81226,0.302619,0.105449,0.184705,1.45237,1.36893
R,7.58668,0.907449,5.10946,0.664531,7.57869,0.891016,5.15736,0.341581,0.10356,0.181403,1.42623,1.34564
L,7.84199,0.941886,5.09966,0.712469,7.83645,0.831852,5.16339,0.141715,0.101764,0.179415,1.40148,1.32648
R,8.0968,0.978759,5.08907,0.761915,8.08508,0.839406,4.98646,0.128732,0.100077,0.178225,1.37805,1.3093
L,8.35106,1.01814,5.07766,0.812843,8.32036,0.845774,4.96113,0.12996,0.0986035,0.178039,1.3558,1.29383
R,8.60472,1.06011,5.06537,0.865226,8.60211,0.855093,5.2653,0.157049,0.0970516,0.178943,1.33492,1.2796
L,8.85775,1.10473,5.05216,0.919037,8.84138,0.941716,5.21683,0.366155,0.0956124,0.178482,1.31485,1.26373
R,9.1101,1.15208,5.03798,0.974245,9.1354,0.964182,5.26779,0.372938,0.0942957,0.178766,1.29597,1.24927
L,9.36172,1.20223,5.0228,1.03082,9.37377,1.01343,5.22019,0.455752,0.0929611,0.17906,1.27775,1.23512
R,9.61255,1.25524,5.00656,1.08873,9.66018,1.03993,5.28437,0.464887,0.0920041,0.180166,1.26073,1.22228
L,9.86254,1.31118,4.98922,1.14794,9.93511,1.21663,5.29088,0.866119,0.091533,0.178393,1.24457,1.20654
R,10.1117,1.37011,4.97074,1.20841,10.1856,1.25705,5.04751,0.831845,0.0911129,0.176983,1.22815,1.19212
L,10.3598,1.4321,4.95106,1.2701,10.4025,1.36937,4.97551,1.02116,0.0901972,0.174988,1.2123,1.17742
R,10.6069,1.49721,4.93014,1.33298,10.6356,1.41705,4.74973,0.986392,0.0891777,0.173251,1.19739,1.1639
L,10.853,1.56549,4.90794,1.39701,10.8501,1.46509,4.70806,0.986036,0.0880846,0.171842,1.18311,1.1514
R,11.0979,1.637,4.8844,1.46213,11.1198,1.51992,4.89462,1.01394,0.0870955,0.170742,1.16895,1.13971
L,11.3416,1.71179,4.85948,1.52832,11.3999,1.5813,4.95768,1.03724,0.0865352,0.169914,1.15537,1.12887
R,11.584,1.78992,4.83313,1.59551,11.6302,1.63027,4.85891,1.02203,0.0858295,0.169688,1.14217,1.11931
L,11.8251,1.87144,4.80531,1.66366,11.8553,1.71086,4.82256,1.10132,0.0849899,0.169491,1.12941,1.10998
R,12.0647,1.95639,4.77598,1.73273,12.1195,1.7704,4.99454,1.1301,0.0844484,0.169867,1.11753,1.10143
L,12.3029,2.04482,4.74508,1.80265,12.3631,1.81093,4.98533,1.08919,0.0840049,0.171478,1.10614,1.09461
R,12.5394,2.13677,4.71257,1.87338,12.6216,1.86701,5.08956,1.10569,0.0839666,0.174092,1.09591,1.0888
L,12.7743,2.23227,4.67842,1.94485,12.8196,2.0354,4.97162,1.40797,0.0833562,0.174587,1.08547,1.08036
R,13.0075,2.33137,4.64258,2.01701,13.0953,2.11193,5.13549,1.44007,0.0834481,0.175596,1.07682,1.07261
L,13.2388,2.43409,4.605,2.08981,13.2992,2.28469,5.02414,1.70964,0.0830581,0.17512,1.06783,1.06338
R,13.4682,2.54047,4.56565,2.16317,13.4837,2.35502,4.63875,1.63023,0.0822838,0.175324,1.05756,1.05569
