sensor,x_gt,y_gt,vx_gt,vy_gt,p_x,p_y,vx,vy,RMSE_x,RMSE_y,RMSE_vx,RMSE_vy
L,0.6,0.6,5.19994,0,0.312243,0.58034,0,0,0.287757,0.0196602,5.19994,0
R,0.859997,0.600045,5.19975,0.00179686,0.312243,0.58034,0,0,0.437515,0.0196827,5.19984,0.00127057
L,1.11998,0.600225,5.19943,0.00538996,1.17209,0.481276,7.81686,-0.900593,0.358494,0.0705306,4.50658,0.52307
R,1.37996,0.600629,5.19898,0.0107781,1.56293,0.436246,7.81686,-0.900593,0.323664,0.102403,4.11646,0.642535
L,1.6399,0.601347,5.19839,0.0179597,1.65735,0.619508,4.98059,1.28379,0.289599,0.0919514,3.68316,0.80669
R,1.89982,0.60247,5.19766,0.0269323,1.90638,0.683698,4.98059,1.28379,0.26438,0.0902527,3.36342,0.897538
L,2.1597,0.604086,5.19678,0.0376932,2.18293,0.666218,5.14332,0.800872,0.244926,0.0867951,3.11399,0.879601
R,2.41954,0.606284,5.19573,0.0502389,2.4401,0.706261,5.14332,0.800872,0.229223,0.0885502,2.91293,0.864533
L,2.67932,0.609155,5.1945,0.0645654,2.668,0.690352,5.0173,0.559906,0.216146,0.0877637,2.74697,0.831645
R,2.93904,0.612786,5.19309,0.080668,2.91887,0.718348,5.0173,0.559906,0.205154,0.0897026,2.6066,0.803391
L,3.19869,0.617267,5.19147,0.0985415,3.07478,0.680455,4.68887,0.332004,0.199142,0.0876244,2.48991,0.76923
R,3.45825,0.622685,5.18963,0.11818,3.30922,0.697055,4.68887,0.332004,0.195457,0.0865974,2.38828,0.739064
L,3.71772,0.62913,5.18754,0.139576,3.73099,0.498562,5.2485,-0.31059,0.187825,0.0907394,2.29465,0.720963
R,3.97708,0.636689,5.18519,0.162724,3.99342,0.483033,5.2485,-0.31059,0.181046,0.0966022,2.21125,0.70616
L,4.23632,0.645449,5.18256,0.187614,4.28193,0.521663,5.31989,-0.162403,0.175303,0.0986478,2.13656,0.688175
R,4.49542,0.655498,5.17962,0.214238,4.54793,0.513543,5.31989,-0.162403,0.170243,0.101895,2.06901,0.672943
L,4.75437,0.666921,5.17634,0.242587,4.60326,0.684776,4.76787,0.307572,0.169178,0.0989476,2.00968,0.653041
R,5.01315,0.679804,5.1727,0.272649,4.84165,0.700155,4.76787,0.307572,0.169308,0.0962794,1.95539,0.634695
L,5.27175,0.694234,5.16867,0.304413,5.27099,0.686254,5.26122,0.231921,0.164792,0.0937293,1.90335,0.617991
R,5.53013,0.710295,5.16422,0.337868,5.53405,0.69785,5.26122,0.231921,0.160622,0.0913984,1.85529,0.602808
L,5.78828,0.728072,5.15932,0.372999,5.89226,0.709096,5.50729,0.231016,0.158385,0.0892918,1.81217,0.589096
R,6.04618,0.747647,5.15393,0.409793,6.16762,0.720647,5.50729,0.231016,0.156894,0.0874286,1.7721,0.576813
L,6.30379,0.769103,5.14803,0.448233,6.4011,0.82249,5.39832,0.4659,0.154781,0.0862284,1.73394,0.564146
R,6.5611,0.792523,5.14157,0.488305,6.67101,0.845785,5.39832,0.4659,0.153174,0.0851101,1.69824,0.552287
L,6.81808,0.817988,5.13452,0.52999,6.87521,0.804905,5.22637,0.298007,0.150514,0.0834316,1.66403,0.543114
R,7.07469,0.845578,5.12685,0.573269,7.13652,0.819806,5.22637,0.298007,0.148088,0.0819674,1.63183,0.535296
L,7.3309,0.875373,5.11851,0.618123,7.29031,0.885281,4.94399,0.430813,0.14553,0.0804577,1.60168,0.526525
R,7.58668,0.907449,5.10946,0.664531,7.5375,0.906822,4.94399,0.430813,0.143209,0.079008,1.57313,0.51892
L,7.84199,0.941886,5.09966,0.712469,7.79321,0.842047,4.96638,0.203751,0.14101,0.0798169,1.54597,0.518572
R,8.0968,0.978759,5.08907,0.761915,8.04153,0.852235,4.96638,0.203751,0.139007,0.0818046,1.52015,0.51994
L,8.35106,1.01814,5.07766,0.812843,8.27257,0.853306,4.92089,0.179756,0.137471,0.0857473,1.49569,0.523971
R,8.60472,1.06011,5.06537,0.865226,8.51862,0.862294,4.92089,0.179756,0.136159,0.0913546,1.47236,0.529764
L,8.85775,1.10473,5.05216,0.919037,8.75702,0.944413,4.90079,0.372227,0.135222,0.0941893,1.45012,0.530289
R,9.1101,1.15208,5.03798,0.974245,9.00206,0.963024,4.90079,0.372227,0.134501,0.0982952,1.42883,0.532536
L,9.36172,1.20223,5.0228,1.03082,9.25069,1.00947,4.91022,0.445474,0.133888,0.102213,1.40839,0.534118
R,9.61255,1.25524,5.00656,1.08873,9.4962,1.03175,4.91022,0.445474,0.133432,0.107446,1.38879,0.537448
L,9.86254,1.31118,4.98922,1.14794,9.86819,1.21567,5.24293,0.870696,0.131619,0.107141,1.37053,0.532091
R,10.1117,1.37011,4.97074,1.20841,10.1303,1.2592,5.24293,0.870696,0.129911,0.107242,1.35309,0.527894
L,10.3598,1.4321,4.95106,1.2701,10.3334,1.3672,5.08756,1.04025,0.128305,0.106367,1.33581,0.52238
R,10.6069,1.49721,4.93014,1.33298,10.5878,1.41921,5.08756,1.04025,0.126727,0.105751,1.31925,0.517882
L,10.853,1.56549,4.90794,1.39701,10.7964,1.46357,4.9673,1.02011,0.125483,0.105659,1.30309,0.514903
R,11.0979,1.637,4.8844,1.46213,11.0448,1.51457,4.9673,1.02011,0.124251,0.106089,1.28755,0.513288
L,11.3416,1.71179,4.85948,1.52832,11.4143,1.5858,5.28585,1.07329,0.123297,0.106594,1.27415,0.512008
R,11.584,1.78992,4.83313,1.59551,11.6786,1.63946,5.28585,1.07329,0.122718,0.107789,1.26143,0.512243
L,11.8251,1.87144,4.80531,1.66366,11.8752,1.71489,5.10792,1.13051,0.121577,0.10911,1.24815,0.512717
R,12.0647,1.95639,4.77598,1.73273,12.1306,1.77141,5.10792,1.13051,0.120639,0.111311,1.23548,0.514828
L,12.3029,2.04482,4.74508,1.80265,12.3599,1.80963,5.03916,1.08237,0.119638,0.11534,1.22302,0.520045
R,12.5394,2.13677,4.71257,1.87338,12.6118,1.86375,5.03916,1.08237,0.118845,0.120744,1.21113,0.527113
L,12.7743,2.23227,4.67842,1.94485,12.7519,2.02391,4.74493,1.36125,0.11767,0.123157,1.19875,0.528326
R,13.0075,2.33137,4.64258,2.01701,12.9892,2.09197,4.74493,1.36125,0.116516,0.126532,1.18679,0.531174
L,13.2388,2.43409,4.605,2.08981,13.1691,2.26188,4.59428,1.6291,0.11578,0.127585,1.1751,0.529883
R,13.4682,2.54047,4.56565,2.16317,13.3988,2.34333,4.59428,1.6291,0.115063,0.129276,1.16375,0.529963
L,13.6955,2.65053,4.52448,2.23703,13.7141,2.50724,4.81916,1.84595,0.114001,0.129554,1.15343,0.527681
R,13.9208,2.7643,4.48147,2.31134,13.955,2.59954,4.81916,1.84595,0.113037,0.130293,1.14362,0.526595
L,14.1439,2.88179,4.43656,2.38601,14.202,2.79498,4.83497,2.11724,0.112278,0.129632,1.13445,0.523042
R,14.3646,3.00303,4.38974,2.46099,14.4437,2.90085,4.83497,2.11724,0.111772,0.129193,1.12585,0.520383
L,14.583,3.12802,4.34097,2.5362,14.5932,2.96574,4.59225,2.00951,0.110796,0.129847,1.11643,0.520494
R,14.7989,3.25679,4.29021,2.61157,14.8228,3.06622,4.59225,2.00951,0.109881,0.131132,1.10747,0.522008
L,15.0122,3.38932,4.23744,2.68703,15.0416,3.30686,4.56369,2.37815,0.109013,0.130458,1.09887,0.519126
R,15.2228,3.52563,4.18263,2.76249,15.2697,3.42577,4.56369,2.37815,0.108271,0.130007,1.09078,0.517167
L,15.4306,3.66572,4.12575,2.83789,15.5085,3.66204,4.59147,2.68681,0.107841,0.128938,1.08344,0.513275
R,15.6355,3.80957,4.06678,2.91315,15.7381,3.79638,4.59147,2.68681,0.107757,0.127905,1.07674,0.50993
L,15.8375,3.95719,4.00571,2.98817,15.9717,3.95967,4.6021,2.76295,0.108228,0.126886,1.07079,0.506662
R,16.0363,4.10854,3.94251,3.0629,16.2018,4.09781,4.6021,2.76295,0.109354,0.125898,1.06559,0.504084
L,16.2319,4.26363,3.87716,3.13723,16.3904,4.32213,4.49301,2.98958,0.110277,0.125137,1.06012,0.500527
R,16.4242,4.42242,3.80966,3.21109,16.6151,4.47161,4.49301,2.98958,0.111932,0.124333,1.05541,0.497468
L,16.613,4.5849,3.74,3.28438,16.7425,4.64267,4.23735,3.04634,0.112215,0.123603,1.04927,0.494597
R,16.7983,4.75103,3.66817,3.35704,16.9544,4.79499,4.23735,3.04634,0.112984,0.122806,1.04381,0.492391
L,16.9799,4.92077,3.59416,3.42897,17.0958,5.05601,4.05219,3.33224,0.113026,0.122996,1.03768,0.488949
R,17.1579,5.09409,3.51797,3.50008,17.2984,5.22262,4.05219,3.33224,0.113467,0.123077,1.03222,0.485858
L,17.3319,5.27094,3.4396,3.57028,17.4138,5.40827,3.82273,3.38231,0.113084,0.123289,1.02593,0.48294
