sensor,x_gt,y_gt,vx_gt,vy_gt,p_x,p_y,vx,vy,RMSE_x,RMSE_y,RMSE_vx,RMSE_vy
L,0.6,0.6,5.19994,0,0.312243,0.58034,0,0,0.287757,0.0196602,5.19994,0
R,0.859997,0.600045,5.19975,0.00179686,0.776595,0.724198,6.6052,2.00224,0.211849,0.0888836,3.80885,1.41453
L,1.11998,0.600225,5.19943,0.00538996,1.10686,0.82431,6.6052,2.00224,0.17314,0.148341,3.21407,1.63189
R,1.37996,0.600629,5.19898,0.0107781,0.975383,0.864716,3.20842,3.77465,0.251799,0.184226,2.95606,2.3535
L,1.6399,0.601347,5.19839,0.0179597,1.1358,1.05345,3.20842,3.77465,0.318662,0.260827,2.78974,2.69327
R,1.89982,0.60247,5.19766,0.0269323,1.32151,1.19281,3.41812,3.75904,0.374649,0.338786,2.64827,2.89244
L,2.1597,0.604086,5.19678,0.0376932,1.49242,1.38076,3.41812,3.75904,0.428859,0.429598,2.54231,3.02479
R,2.41954,0.606284,5.19573,0.0502389,1.69136,1.45052,3.58649,3.5582,0.476666,0.500578,2.44523,3.08933
L,2.67932,0.609155,5.1945,0.0645654,1.87069,1.62843,3.58649,3.5582,0.524041,0.581526,2.36687,3.13682
R,2.93904,0.612786,5.19309,0.080668,2.20689,1.73353,3.96593,3.29161,0.548418,0.655715,2.2787,3.14431
L,3.19869,0.617267,5.19147,0.0985415,2.40518,1.89811,3.96593,3.29161,0.575032,0.734857,2.20385,3.14878
R,3.45825,0.622685,5.18963,0.11818,2.77917,1.94363,4.29609,2.94588,0.584411,0.800264,2.12574,3.12328
L,3.71772,0.62913,5.18754,0.139576,2.99398,2.09093,4.29609,2.94588,0.596286,0.869213,2.05725,3.10005
R,3.97708,0.636689,5.18519,0.162724,3.42184,2.09009,4.70718,2.62645,0.593449,0.923282,1.98653,3.05899
L,4.23632,0.645449,5.18256,0.187614,3.6572,2.22142,4.70718,2.62645,0.592505,0.980407,1.92309,3.02161
R,4.49542,0.655498,5.17962,0.214238,3.97077,2.25512,4.71288,2.39052,0.588493,1.03007,1.86568,2.97582
L,4.75437,0.666921,5.17634,0.242587,4.20641,2.37464,4.71288,2.39052,0.586187,1.08175,1.81346,2.93359
R,5.01315,0.679804,5.1727,0.272649,4.51137,2.38796,4.61685,2.1262,0.581819,1.12573,1.76723,2.88422
L,5.27175,0.694234,5.16867,0.304413,4.74221,2.49427,4.61685,2.1262,0.579185,1.17094,1.72475,2.83824
R,5.53013,0.710295,5.16422,0.337868,5.01235,2.499,4.82514,2.05615,0.57627,1.20935,1.68279,2.79293
L,5.78828,0.728072,5.15932,0.372999,5.25361,2.60181,4.82514,2.05615,0.574358,1.24903,1.64385,2.75025
R,6.04618,0.747647,5.15393,0.409793,5.49903,2.60842,4.70144,1.87478,0.573149,1.28317,1.60895,2.70511
L,6.30379,0.769103,5.14803,0.448233,5.7341,2.70216,4.70144,1.87478,0.572999,1.31811,1.57634,2.66232
R,6.5611,0.792523,5.14157,0.488305,6.05993,2.65225,4.76491,1.688,0.570187,1.34504,1.54506,2.61774
L,6.81808,0.817988,5.13452,0.52999,6.29817,2.73665,4.76491,1.688,0.568261,1.37259,1.51565,2.57529
R,7.07469,0.845578,5.12685,0.573269,6.62475,2.65569,4.66699,1.44009,0.564169,1.39197,1.48895,2.531
L,7.3309,0.875373,5.11851,0.618123,6.8581,2.7277,4.66699,1.44009,0.561051,1.4117,1.4637,2.48872
R,7.58668,0.907449,5.10946,0.664531,7.34366,2.49848,5.10327,1.19278,0.552852,1.41849,1.43732,2.44591
L,7.84199,0.941886,5.09966,0.712469,7.59882,2.55812,5.10327,1.19278,0.54511,1.42577,1.41232,2.40502
R,8.0968,0.978759,5.08907,0.761915,7.89455,2.50991,4.91556,1.04434,0.537218,1.42941,1.38895,2.36516
L,8.35106,1.01814,5.07766,0.812843,8.14033,2.56213,4.91556,1.04434,0.529836,1.43324,1.36667,2.32707
R,8.60472,1.06011,5.06537,0.865226,8.40642,2.59633,5.19391,1.06935,0.522669,1.43657,1.34534,2.29071
L,8.85775,1.10473,5.05216,0.919037,8.66612,2.64979,5.19391,1.06935,0.515768,1.43998,1.32503,2.25588
R,9.1101,1.15208,5.03798,0.974245,9.1128,2.40377,5.27479,0.81042,0.508127,1.4348,1.30603,2.22264
L,9.36172,1.20223,5.0228,1.03082,9.37654,2.44429,5.27479,0.81042,0.500822,1.42965,1.28794,2.19097
R,9.61255,1.25524,5.00656,1.08873,9.7294,2.32098,5.31982,0.674795,0.494201,1.4208,1.271,2.16143
L,9.86254,1.31118,4.98922,1.14794,9.99539,2.35472,5.31982,0.674795,0.487966,1.41193,1.25488,2.13344
R,10.1117,1.37011,4.97074,1.20841,10.2668,2.32234,5.0748,0.598245,0.48216,1.40177,1.23838,2.10751
L,10.3598,1.4321,4.95106,1.2701,10.5206,2.35225,5.0748,0.598245,0.476634,1.3915,1.22256,2.08309
R,10.6069,1.49721,4.93014,1.33298,10.7507,2.35705,4.82139,0.547984,0.471187,1.38071,1.2073,2.06063
L,10.853,1.56549,4.90794,1.39701,10.9918,2.38445,4.82139,0.547984,0.46591,1.36975,1.19256,2.03966
R,11.0979,1.637,4.8844,1.46213,11.2812,2.34003,4.98899,0.512113,0.461199,1.35769,1.17839,2.02056
L,11.3416,1.71179,4.85948,1.52832,11.5307,2.36564,4.98899,0.512113,0.456715,1.3455,1.16478,2.00293
R,11.584,1.78992,4.83313,1.59551,11.6907,2.52322,4.89296,0.578998,0.451782,1.33471,1.1515,1.98596
L,11.8251,1.87144,4.80531,1.66366,11.9353,2.55217,4.89296,0.578998,0.447036,1.3237,1.13871,1.97041
R,12.0647,1.95639,4.77598,1.73273,12.1815,2.61485,5.06466,0.623597,0.442485,1.31282,1.12707,1.95573
L,12.3029,2.04482,4.74508,1.80265,12.4347,2.64603,5.06466,0.623597,0.438174,1.30174,1.11599,1.94244
R,12.5394,2.13677,4.71257,1.87338,12.6639,2.71059,5.16071,0.645019,0.433958,1.29077,1.10619,1.93026
L,12.7743,2.23227,4.67842,1.94485,12.9219,2.74284,5.16071,0.645019,0.430024,1.27961,1.09701,1.91946
R,13.0075,2.33137,4.64258,2.01701,13.1979,2.77601,5.29039,0.666201,0.426553,1.26831,1.08985,1.90975
L,13.2388,2.43409,4.605,2.08981,13.4624,2.80932,5.29039,0.666201,0.42351,1.25691,1.08337,1.90141
R,13.4682,2.54047,4.56565,2.16317,13.5506,2.98704,4.83427,0.65784,0.419574,1.24631,1.07355,1.89458
L,13.6955,2.65053,4.52448,2.23703,13.7923,3.01994,4.83427,0.65784,0.415809,1.23553,1.06422,1.88911
