sensor,x_gt,y_gt,vx_gt,vy_gt,p_x,p_y,vx,vy,RMSE_x,RMSE_y,RMSE_vx,RMSE_vy
L,0.6,0.6,5.19994,0,0.312243,0.58034,0.438791,0.239713,0.287757,0.0196602,4.76115,0.239713
R,0.859997,0.600045,5.19975,0.00179686,0.434075,0.423034,4.03027,1.94365,0.363465,0.125935,3.46671,1.38352
L,1.11998,0.600225,5.19943,0.00538996,0.898699,0.568506,4.14463,-2.09088,0.3231,0.104444,2.89533,1.65556
R,1.37996,0.600629,5.19898,0.0107781,1.11232,0.456628,5.29158,-1.42638,0.310165,0.115609,2.50786,1.60375
L,1.6399,0.601347,5.19839,0.0179597,1.48527,0.4536,5.51398,-1.22031,0.285909,0.122712,2.24753,1.53762
R,1.89982,0.60247,5.19766,0.0269323,1.73727,0.498788,5.50498,-0.306158,0.269303,0.11975,2.05554,1.41022
L,2.1597,0.604086,5.19678,0.0376932,2.06153,0.519121,5.55829,0.0247497,0.252072,0.115425,1.90796,1.30562
R,2.41954,0.606284,5.19573,0.0502389,2.26697,0.600545,5.19314,0.887658,0.241883,0.107989,1.78473,1.25667
L,2.67932,0.609155,5.1945,0.0645654,2.55367,0.653469,5.17651,1.19099,0.231864,0.102879,1.68267,1.24287
R,2.93904,0.612786,5.19309,0.080668,2.82302,0.666112,5.2005,1.13306,0.223005,0.0990455,1.59632,1.22515
L,3.19869,0.617267,5.19147,0.0985415,3.06775,0.704305,5.15728,1.25399,0.216261,0.0980148,1.52207,1.21898
R,3.45825,0.622685,5.18963,0.11818,3.36409,0.607928,5.29353,0.456854,0.208831,0.0939386,1.45758,1.17118
L,3.71772,0.62913,5.18754,0.139576,3.68381,0.526948,5.36189,-0.111757,0.200859,0.0945983,1.40123,1.12739
R,3.97708,0.636689,5.18519,0.162724,3.96053,0.589542,5.38673,0.267864,0.193603,0.092024,1.35133,1.08674
L,4.23632,0.645449,5.18256,0.187614,4.24303,0.594258,5.40305,0.268048,0.187046,0.0898808,1.30675,1.0501
R,4.49542,0.655498,5.17962,0.214238,4.50203,0.629688,5.3637,0.413149,0.181114,0.0872655,1.2661,1.01797
L,4.75437,0.666921,5.17634,0.242587,4.69512,0.742777,5.22645,0.887368,0.176293,0.086636,1.22835,0.999877
R,5.01315,0.679804,5.1727,0.272649,4.95122,0.743273,5.20226,0.812384,0.171947,0.0855137,1.19377,0.979998
L,5.27175,0.694234,5.16867,0.304413,5.26238,0.733465,5.27137,0.686931,0.167375,0.0837181,1.16216,0.957888
R,5.53013,0.710295,5.16422,0.337868,5.52114,0.742347,5.27372,0.66117,0.163149,0.0819125,1.133,0.936429
L,5.78828,0.728072,5.15932,0.372999,5.82194,0.748893,5.31532,0.616309,0.159387,0.0800674,1.10622,0.915402
R,6.04618,0.747647,5.15393,0.409793,6.07285,0.687746,5.29552,0.376396,0.155826,0.0792621,1.08121,0.894384
L,6.30379,0.769103,5.14803,0.448233,6.33244,0.784735,5.27249,0.644839,0.152518,0.0775884,1.05776,0.875685
R,6.5611,0.792523,5.14157,0.488305,6.58553,0.820841,5.24548,0.703889,0.14939,0.0761744,1.03571,0.858376
L,6.81808,0.817988,5.13452,0.52999,6.84118,0.81356,5.24435,0.633579,0.146444,0.0746406,1.01502,0.841288
R,7.07469,0.845578,5.12685,0.573269,7.09279,0.807435,5.21951,0.575993,0.143644,0.0735724,0.995475,0.824951
L,7.3309,0.875373,5.11851,0.618123,7.32072,0.878899,5.17499,0.72496,0.140973,0.0722003,0.976927,0.809791
R,7.58668,0.907449,5.10946,0.664531,7.60637,0.896256,5.20554,0.71223,0.138482,0.0709309,0.959495,0.79525
L,7.84199,0.941886,5.09966,0.712469,7.86273,0.869817,5.2101,0.60196,0.136128,0.0709704,0.94303,0.781688
R,8.0968,0.978759,5.08907,0.761915,8.11862,0.895258,5.1922,0.622405,0.133899,0.0714235,0.92737,0.768972
L,8.35106,1.01814,5.07766,0.812843,8.36263,0.90432,5.17905,0.60505,0.131739,0.0731756,0.912472,0.757387
R,8.60472,1.06011,5.06537,0.865226,8.62178,0.989454,5.17326,0.750719,0.129699,0.0730982,0.898304,0.745734
L,8.85775,1.10473,5.05216,0.919037,8.8624,1.03669,5.15103,0.806292,0.127721,0.07295,0.884756,0.73461
R,9.1101,1.15208,5.03798,0.974245,9.1454,1.07777,5.16778,0.837025,0.125974,0.0729904,0.871932,0.724109
L,9.36172,1.20223,5.0228,1.03082,9.38642,1.10357,5.1518,0.840268,0.124232,0.0738478,0.859662,0.714416
R,9.61255,1.25524,5.00656,1.08873,9.65873,1.17317,5.15401,0.923884,0.122736,0.0740885,0.847994,0.704959
L,9.86254,1.31118,4.98922,1.14794,9.9272,1.27985,5.14016,1.07326,0.121532,0.0732617,0.836824,0.695476
R,10.1117,1.37011,4.97074,1.20841,10.1823,1.36272,5.11346,1.17007,0.120468,0.0723013,0.826065,0.686292
L,10.3598,1.4321,4.95106,1.2701,10.4137,1.43702,5.07931,1.24347,0.119226,0.0713727,0.815664,0.67745
R,10.6069,1.49721,4.93014,1.33298,10.6582,1.51692,5.04343,1.32372,0.118006,0.0705438,0.805603,0.66893
L,10.853,1.56549,4.90794,1.39701,10.8921,1.55389,5.02718,1.31811,0.116718,0.0697017,0.795936,0.660837
R,11.0979,1.637,4.8844,1.46213,11.154,1.60793,5.02822,1.33766,0.115645,0.0690128,0.786716,0.653205
L,11.3416,1.71179,4.85948,1.52832,11.4284,1.65446,5.04208,1.3394,0.115056,0.0687638,0.778013,0.646207
R,11.584,1.78992,4.83313,1.59551,11.6679,1.71597,5.01805,1.37329,0.114441,0.0688862,0.769626,0.639699
L,11.8251,1.87144,4.80531,1.66366,11.9031,1.77956,4.99678,1.40628,0.113758,0.0694799,0.761562,0.633714
R,12.0647,1.95639,4.77598,1.73273,12.1538,1.86436,4.98414,1.46823,0.113278,0.0700475,0.753863,0.628
L,12.3029,2.04482,4.74508,1.80265,12.3982,1.90151,4.98063,1.44783,0.112925,0.0723824,0.746592,0.623436
R,12.5394,2.13677,4.71257,1.87338,12.6487,1.96518,4.97697,1.46856,0.112849,0.0757855,0.739759,0.619668
L,12.7743,2.23227,4.67842,1.94485,12.8574,2.08411,4.92004,1.58702,0.112321,0.0779373,0.732984,0.615439
R,13.0075,2.33137,4.64258,2.01701,13.1123,2.18093,4.91422,1.65017,0.112175,0.0800335,0.726634,0.611458
L,13.2388,2.43409,4.605,2.08981,13.3215,2.30985,4.85476,1.77178,0.111672,0.0811322,0.720324,0.60707
R,13.4682,2.54047,4.56565,2.16317,13.5245,2.43896,4.78048,1.89248,0.110869,0.0815719,0.713986,0.602375
L,13.6955,2.65053,4.52448,2.23703,13.7679,2.55443,4.75662,1.97075,0.110267,0.0818698,0.707937,0.597785
R,13.9208,2.7643,4.48147,2.31134,13.9948,2.66089,4.72032,2.03506,0.109706,0.0823197,0.702104,0.593416
