sensor,x_gt,y_gt,vx_gt,vy_gt,p_x,p_y,vx,vy,RMSE_x,RMSE_y,RMSE_vx,RMSE_vy
L,0.6,0.6,5.19994,0,0.312243,0.58034,0.438791,0.239713,0.287757,0.0196602,4.76115,0.239713
R,0.859997,0.600045,5.19975,0.00179686,0.434075,0.423034,4.03027,1.94365,0.363465,0.125935,3.46671,1.38352
L,1.11998,0.600225,5.19943,0.00538996,0.547207,0.481579,4.02266,1.95934,0.44433,0.123553,2.91095,1.59647
R,1.37996,0.600629,5.19898,0.0107781,0.899915,0.415614,4.45749,-1.77072,0.453521,0.141445,2.54808,1.64468
L,1.6399,0.601347,5.19839,0.0179597,1.11985,0.331232,4.45735,-1.77109,0.467587,0.174922,2.30304,1.67455
R,1.89982,0.60247,5.19766,0.0269323,1.50382,0.446692,5.46155,-0.447554,0.456436,0.171879,2.10513,1.54087
L,2.1597,0.604086,5.19678,0.0376932,1.77515,0.42709,5.47122,-0.307469,0.446875,0.17262,1.95173,1.43252
R,2.41954,0.606284,5.19573,0.0502389,1.98706,0.519252,5.142,0.76844,0.445101,0.164377,1.82578,1.36385
L,2.67932,0.609155,5.1945,0.0645654,2.24062,0.564686,5.08288,1.09316,0.444395,0.155683,1.72176,1.33078
R,2.93904,0.612786,5.19309,0.080668,2.55841,0.585749,5.18256,1.02224,0.438437,0.147941,1.63341,1.29712
L,3.19869,0.617267,5.19147,0.0985415,2.81421,0.642686,5.12455,1.28173,0.433809,0.141264,1.55753,1.28718
R,3.45825,0.622685,5.18963,0.11818,3.1569,0.543806,5.31574,0.426388,0.424353,0.137154,1.49166,1.23559
L,3.71772,0.62913,5.18754,0.139576,3.42073,0.567664,5.30569,0.537162,0.415943,0.132871,1.43352,1.19223
R,3.97708,0.636689,5.18519,0.162724,3.74538,0.616449,5.35074,0.697342,0.405568,0.128152,1.38208,1.15771
L,4.23632,0.645449,5.18256,0.187614,4.01105,0.654014,5.33388,0.816385,0.396109,0.123826,1.33579,1.13018
R,4.49542,0.655498,5.17962,0.214238,4.29616,0.671318,5.32351,0.812722,0.386753,0.11996,1.29387,1.10447
L,4.75437,0.666921,5.17634,0.242587,4.56069,0.714429,5.30574,0.921638,0.378135,0.116947,1.25563,1.08408
R,5.01315,0.679804,5.1727,0.272649,4.83399,0.700395,5.28413,0.804272,0.369899,0.113756,1.22054,1.06096
L,5.27175,0.694234,5.16867,0.304413,5.09681,0.742713,5.26928,0.896406,0.362264,0.111279,1.18821,1.04155
R,5.53013,0.710295,5.16422,0.337868,5.35914,0.727065,5.29021,0.775593,0.355155,0.108526,1.15847,1.01989
L,5.78828,0.728072,5.15932,0.372999,5.62249,0.767553,5.2787,0.850369,0.348479,0.10626,1.13085,1.00074
R,6.04618,0.747647,5.15393,0.409793,5.87843,0.631969,5.28782,0.400395,0.34234,0.106706,1.10522,0.977738
L,6.30379,0.769103,5.14803,0.448233,6.14198,0.652884,5.28471,0.439562,0.336511,0.107138,1.0813,0.956248
R,6.5611,0.792523,5.14157,0.488305,6.40508,0.726107,5.25561,0.619606,0.330962,0.105754,1.05879,0.936498
L,6.81808,0.817988,5.13452,0.52999,6.66704,0.758197,5.24964,0.668312,0.325679,0.104305,1.03765,0.917994
R,7.07469,0.845578,5.12685,0.573269,6.93283,0.729605,5.2322,0.57391,0.320564,0.104778,1.01771,0.900167
L,7.3309,0.875373,5.11851,0.618123,7.19372,0.759249,5.22746,0.615535,0.315677,0.10522,0.998905,0.88334
R,7.58668,0.907449,5.10946,0.664531,7.52484,0.784481,5.27481,0.627435,0.310209,0.105905,0.981403,0.867451
L,7.84199,0.941886,5.09966,0.712469,7.7879,0.816771,5.26986,0.667746,0.304979,0.106625,0.964852,0.852405
R,8.0968,0.978759,5.08907,0.761915,8.05418,0.856191,5.24413,0.729,0.299954,0.107195,0.949057,0.838099
L,8.35106,1.01814,5.07766,0.812843,8.31573,0.8936,5.23811,0.771067,0.295145,0.107798,0.934069,0.824505
R,8.60472,1.06011,5.06537,0.865226,8.57115,1.07129,5.19723,1.07996,0.290557,0.106119,0.919654,0.812407
L,8.85775,1.10473,5.05216,0.919037,8.83026,1.12651,5.18577,1.13369,0.286161,0.104567,0.905911,0.800875
R,9.1101,1.15208,5.03798,0.974245,9.16051,1.15814,5.22187,1.13391,0.282054,0.103023,0.893046,0.789485
L,9.36172,1.20223,5.0228,1.03082,9.42088,1.21601,5.2104,1.18551,0.278175,0.101568,0.880767,0.778564
R,9.61255,1.25524,5.00656,1.08873,9.71369,1.32738,5.19871,1.3226,0.274802,0.100866,0.869038,0.768663
L,9.86254,1.31118,4.98922,1.14794,9.97286,1.39476,5.18445,1.37745,0.271669,0.100438,0.857815,0.759143
R,10.1117,1.37011,4.97074,1.20841,10.2282,1.53405,5.12296,1.55726,0.268736,0.102614,0.846812,0.751222
L,10.3598,1.4321,4.95106,1.2701,10.4835,1.61328,5.10441,1.61703,0.266007,0.105363,0.836246,0.743607
R,10.6069,1.49721,4.93014,1.33298,10.7175,1.72071,5.03758,1.73542,0.263242,0.109876,0.825902,0.737005
L,10.853,1.56549,4.90794,1.39701,10.9684,1.80891,5.0157,1.79768,0.260636,0.114994,0.815941,0.730646
R,11.0979,1.637,4.8844,1.46213,11.2497,1.79731,5.04811,1.71103,0.258578,0.116278,0.806565,0.722916
L,11.3416,1.71179,4.85948,1.52832,11.5013,1.88417,5.02842,1.76807,0.256711,0.117886,0.797547,0.715396
R,11.584,1.78992,4.83313,1.59551,11.7211,1.90462,5.00439,1.74236,0.254617,0.117815,0.788854,0.707566
L,11.8251,1.87144,4.80531,1.66366,11.9705,1.99299,4.98508,1.79687,0.252702,0.117899,0.7805,0.699941
R,12.0647,1.95639,4.77598,1.73273,12.2134,2.09638,4.96039,1.86599,0.250899,0.118423,0.772449,0.69257
L,12.3029,2.04482,4.74508,1.80265,12.4606,2.19093,4.93958,1.92042,0.249279,0.119079,0.764713,0.685378
R,12.5394,2.13677,4.71257,1.87338,12.7127,2.18905,4.96044,1.8447,0.247934,0.118074,0.757551,0.678214
L,12.7743,2.23227,4.67842,1.94485,12.9599,2.28243,4.94155,1.8947,0.246819,0.117082,0.750723,0.671296
R,13.0075,2.33137,4.64258,2.01701,13.2129,2.41917,4.9206,1.98666,0.246059,0.116569,0.744217,0.664563
L,13.2388,2.43409,4.605,2.08981,13.4581,2.51964,4.89994,2.03708,0.245563,0.11604,0.738041,0.658057
R,13.4682,2.54047,4.56565,2.16317,13.5688,2.77925,4.7249,2.30498,0.24359,0.119595,0.731244,0.651995
L,13.6955,2.65053,4.52448,2.23703,13.804,2.89579,4.69668,2.36194,0.241741,0.123158,0.724698,0.646043
R,13.9208,2.7643,4.48147,2.31134,14.013,2.98888,4.6543,2.40167,0.239821,0.125782,0.718342,0.640151
L,14.1439,2.88179,4.43656,2.38601,14.2447,3.11024,4.62477,2.45805,0.238019,0.128384,0.712234,0.634379
